23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
44963,33958;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0412""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44897,3194;20,9959;20,9861;21,5798;21,5623;21,8403;22,1036;240,137;240,963;203,805;242,281;251,926;255;0;0;0
44897,31943;21,0017;20,9776;21,5793;21,5522;21,8456;22,0947;240,193;238,301;203,811;241,386;251,879;255;0;0;0
44897,31945;21,0006;20,9759;21,58;21,5567;21,8453;22,1017;239,681;240,4;203,803;240,905;249,02;255;0;0;0
44897,31947;20,9999;20,9867;21,5856;21,5666;21,8515;22,1114;239,092;237,869;203,783;240,813;248,125;255;0;0;0
44897,31949;21,0059;20,9891;21,5809;21,559;21,849;22,105;238,851;239,101;203,793;239,054;248,577;255;0;0;0
44897,31951;21,0027;20,9955;21,5896;21,5624;21,8482;22,1091;238,287;240,942;203,805;241,857;248,361;255;0;0;0
44897,31953;21,0016;20,9921;21,597;21,5722;21,8547;22,1178;239,741;239,68;203,796;241,386;251,35;255;0;0;0
44897,31955;21,0014;20,9857;21,5912;21,5734;21,85;22,1114;239,756;240,705;203,806;240,415;249,974;255;0;0;0
44897,31958;21,0039;20,9894;21,594;21,5656;21,8593;22,1213;240,916;240,382;203,791;238,241;248,972;255;0;0;0
44897,3196;21,001;20,9859;21,5869;21,5672;21,848;22,1071;240,924;239,974;203,807;240,136;251,6;255;0;0;0
44897,31962;21,0031;20,9887;21,5905;21,5575;21,8489;22,1121;239,453;240,078;203,799;239,882;248,764;255;0;0;0
44897,31964;21,0051;20,9922;21,5943;21,5705;21,8538;22,1146;240,2;239,115;203,818;241,013;248,683;255;0;0;0
44897,31966;21,0007;20,9878;21,5886;21,5688;21,8568;22,1255;238,51;239,083;203,791;240,592;250,197;255;0;0;0
44897,31968;21,0052;20,987;21,5862;21,564;21,8512;22,1161;240,891;238,355;203,821;239,714;248,98;255;0;0;0
44897,3197;21,0013;20,991;21,5934;21,5635;21,8539;22,1191;241,868;239,052;203,803;241,429;249,602;255;0;0;0
44897,31973;20,9943;20,9863;21,5862;21,5609;21,8491;22,1165;240,023;239,292;203,799;241,186;247,931;255;0;0;0
44897,31975;21,0001;20,9824;21,5812;21,5598;21,8514;22,118;238,068;239,013;203,809;240,771;251,766;255;0;0;0
44897,31977;20,9978;20,98;21,5813;21,5678;21,8449;22,1116;240,968;240,107;203,803;241,873;250,605;255;0;0;0
44897,31979;21,0007;20,9871;21,5866;21,5632;21,8433;22,1111;238,236;238,97;203,813;241,222;250,624;255;0;0;0
44897,31981;21,0034;20,9825;21,5812;21,5547;21,8375;22,1129;240,524;238,631;203,802;240,27;250,357;255;0;0;0
44897,31983;20,998;20,9843;21,5792;21,5593;21,8432;22,1127;239,663;240,17;203,813;241,092;252,26;255;0;0;0
44897,31985;21,0067;20,9946;21,5914;21,5659;21,8601;22,1257;239,322;239,338;203,817;242,233;250,286;255;0;0;0
44897,31988;21,0022;20,9968;21,5966;21,5692;21,8512;22,1325;239,729;240,722;203,814;238,383;251,134;255;0;0;0
44897,3199;20,9999;20,9889;21,599;21,5715;21,8572;22,1282;240,81;239,413;203,821;241,315;249,351;255;0;0;0
44897,31992;20,9996;20,988;21,5886;21,5644;21,8519;22,1189;239,975;238,566;203,806;241,84;251,312;255;0;0;0
44897,31994;20,9995;20,9948;21,5881;21,5693;21,8542;22,1328;240,159;239,798;203,817;240,803;248,152;255;0;0;0
44897,31996;21,0053;20,9931;21,5907;21,5666;21,8485;22,1246;241,938;240,211;203,805;241,303;251,187;255;0;0;0
44897,31998;20,9984;20,9847;21,582;21,557;21,842;22,1238;241,24;239,364;203,82;241,722;249,138;255;0;0;0
44897,32;21,0053;20,9833;21,585;21,558;21,8459;22,1194;239,192;239,678;203,818;239,552;251,665;255;0;0;0
44897,32002;21,0075;20,9908;21,5959;21,5617;21,8506;22,1202;240,894;239,397;203,831;240,135;248,778;255;0;0;0
44897,32005;21,0044;20,9868;21,58;21,5606;21,8517;22,1172;239,981;241,53;203,824;241,251;250,75;255;0;0;0
44897,32007;21,0002;20,9842;21,5866;21,5618;21,8435;22,1157;239,631;237,183;203,83;240,062;251,099;255;0;0;0
44897,32009;21,0055;20,9835;21,5877;21,5676;21,8509;22,1227;239,377;238,921;203,811;239,594;246,889;255;0;0;0
44897,32011;21,005;20,9807;21,5844;21,5592;21,8442;22,1109;239,647;241,19;203,817;242,242;249,378;255;0;0;0
44897,32013;21,0074;20,9771;21,5768;21,5597;21,8363;22,117;238,867;242,117;203,802;241,857;249,367;255;0;0;0
44897,32015;21,004;20,9769;21,5842;21,5606;21,8395;22,114;242,99;240,564;203,805;241,865;250,202;255;0;0;0
44897,32017;21,0025;20,9835;21,5821;21,5632;21,8459;22,1171;239,398;240,361;203,8;240,701;250,318;255;0;0;0
44897,3202;21,0011;20,9897;21,5883;21,5678;21,8518;22,1154;241,431;240,129;203,804;240,026;252,501;255;0;0;0
44897,32022;21,0038;20,9801;21,5817;21,5687;21,8474;22,1201;240,974;241,169;203,82;239,572;248,988;255;0;0;0
44897,32024;21,0002;20,9881;21,5881;21,5651;21,8491;22,1266;238,416;237,153;203,822;240,06;249,452;255;0;0;0
44897,32026;21,004;20,9838;21,5833;21,5649;21,8488;22,1224;241,377;239,522;203,817;240,611;250,947;255;0;0;0
44897,32028;20,9987;20,9831;21,5811;21,5609;21,8481;22,1219;240,599;238,739;203,832;241,011;249,364;255;0;0;0
44897,3203;21,005;20,9877;21,5899;21,5699;21,847;22,125;239,518;241,16;203,812;240,705;251,576;255;0;0;0
44897,32032;21,0042;20,9872;21,5847;21,5604;21,8415;22,1218;237,466;239,087;203,835;240,174;250,788;255;0;0;0
44897,32035;21,0101;20,9924;21,5898;21,5679;21,8538;22,1277;238,951;240,459;203,825;238,434;249,64;255;0;0;0
44897,32037;21,0062;20,9846;21,5814;21,5604;21,8397;22,1292;240,945;240,613;203,82;241,144;250,847;255;0;0;0
44897,32039;21,0004;20,984;21,5887;21,5677;21,8534;22,1317;239,534;241,113;203,824;239,909;248,223;255;0;0;0
44897,32041;21,0037;20,9796;21,5863;21,5568;21,8437;22,1323;240,478;240,835;203,809;240,861;250,068;255;0;0;0
44897,32043;21,0042;20,9868;21,5821;21,5637;21,8452;22,1307;239,345;237,398;203,822;242,66;250,965;255;0;0;0
44897,32045;21,0009;20,9809;21,5862;21,5659;21,8491;22,1346;241,49;238,48;203,826;240,659;251,24;255;0;0;0
44897,32047;21,0018;20,9865;21,591;21,5677;21,8497;22,1281;240,593;237,749;203,847;241,605;249,314;255;0;0;0
44897,3205;21,0078;20,9887;21,5882;21,5745;21,8534;22,141;239,827;240,138;203,821;240,746;248,101;255;0;0;0
44897,32052;21,0059;20,9948;21,591;21,5701;21,8447;22,136;239,917;239,505;203,849;239,763;248,482;255;0;0;0
44897,32054;21,0007;20,9874;21,5921;21,5709;21,856;22,1339;238,623;237,403;203,857;241,153;248,63;255;0;0;0
44897,32056;20,9984;20,9976;21,5902;21,5691;21,8553;22,1367;239,768;241,256;203,825;238,877;251,384;255;0;0;0
44897,32058;21,0009;20,9901;21,5924;21,57;21,8573;22,1341;239,128;240,012;203,831;242,755;248,241;255;0;0;0
44897,3206;20,9995;20,9974;21,595;21,5723;21,8548;22,1337;241,177;240,082;203,825;241,057;248,827;255;0;0;0
44897,32062;20,995;20,9911;21,589;21,564;21,8574;22,1334;238,482;237,904;203,829;239,725;251,078;255;0;0;0
44897,32065;20,9989;20,9949;21,5858;21,5673;21,8502;22,1297;240,48;241,154;203,846;239,934;250,823;255;0;0;0
44897,32067;20,9944;20,983;21,5832;21,5636;21,8497;22,1316;240,215;239,398;203,828;240,801;248,632;255;0;0;0
44897,32069;20,9998;20,9814;21,5833;21,5667;21,8468;22,1305;240,081;239,118;203,84;241,364;250,655;255;0;0;0
44897,32071;20,9979;20,9855;21,5865;21,5614;21,8432;22,1243;242,158;237,705;203,827;241,4;248,899;255;0;0;0
44897,32073;21,0014;20,9846;21,5817;21,5633;21,8531;22,1316;238,989;252,473;203,84;240,737;250,971;255;0;0;0
44897,32075;21,0082;20,9915;21,5889;21,5688;21,8511;22,1327;240,476;239,148;203,836;241,175;248,749;255;0;0;0
44897,32077;21,0019;20,9876;21,5854;21,5676;21,8544;22,1348;240,218;239,066;203,857;241,172;249,65;255;0;0;0
44897,32079;20,9979;20,9962;21,595;21,5707;21,8537;22,1386;240,489;237,85;203,849;240,842;248,446;255;0;0;0
44897,32082;21,0044;20,9925;21,5911;21,5669;21,8543;22,1372;239,112;239,485;203,845;241,778;249,869;255;0;0;0
44897,32084;20,9985;20,9947;21,5932;21,5722;21,8529;22,1395;240,595;239,879;203,845;241,803;250,748;255;0;0;0
44897,32086;20,9982;20,9925;21,6006;21,5768;21,852;22,138;239,09;238,724;203,845;241,884;250,848;255;0;0;0
44897,32088;20,9935;20,9896;21,5889;21,5716;21,8538;22,1365;239,653;239,909;203,839;240,951;247,721;255;0;0;0
44897,3209;20,9957;20,9868;21,5884;21,5697;21,8464;22,1372;240,553;240,557;203,836;241,043;248,709;255;0;0;0
44897,32092;20,9928;20,9896;21,5895;21,5666;21,8534;22,1309;241,453;239,799;203,856;241,689;249,296;255;0;0;0
