Valor 1 : Tensão efectiva T3 (0s) [Dispositivo-2]
Número;Tempo;Valor 1-avg[V];Valor 1-min[V];Valor 1-max[V];
292;06/12/22 10:39:49'283;218,657;;;
293;06/12/22 10:39:49'763;218,673;;;
294;06/12/22 10:39:50'242;218,695;;;
295;06/12/22 10:39:50'562;218,642;;;
296;06/12/22 10:39:51'043;218,643;;;
297;06/12/22 10:39:51'363;218,708;;;
298;06/12/22 10:39:51'842;218,665;;;
299;06/12/22 10:39:52'162;218,601;;;
300;06/12/22 10:39:52'642;218,679;;;
301;06/12/22 10:39:53'122;218,682;;;
302;06/12/22 10:39:53'602;218,578;;;
303;06/12/22 10:39:54'082;218,629;;;
304;06/12/22 10:39:54'562;218,658;;;
305;06/12/22 10:39:55'042;218,634;;;
306;06/12/22 10:39:55'522;218,668;;;
307;06/12/22 10:39:56'162;218,622;;;
308;06/12/22 10:39:56'642;218,699;;;
309;06/12/22 10:39:57'123;218,695;;;
310;06/12/22 10:39:57'761;218,672;;;
311;06/12/22 10:39:58'241;218,606;;;
312;06/12/22 10:39:58'721;218,638;;;
313;06/12/22 10:39:59'361;218,705;;;
314;06/12/22 10:39:59'841;218,628;;;
315;06/12/22 10:40:00'321;218,598;;;
316;06/12/22 10:40:00'961;218,645;;;
317;06/12/22 10:40:01'441;218,587;;;
318;06/12/22 10:40:01'921;218,549;;;
319;06/12/22 10:40:02'241;218,646;;;
320;06/12/22 10:40:02'721;218,636;;;
321;06/12/22 10:40:03'201;218,557;;;
322;06/12/22 10:40:03'680;218,684;;;
323;06/12/22 10:40:04'160;218,577;;;
324;06/12/22 10:40:04'640;218,583;;;
325;06/12/22 10:40:05'120;218,636;;;
326;06/12/22 10:40:05'601;218,578;;;
327;06/12/22 10:40:06'080;218,593;;;
328;06/12/22 10:40:06'560;218,597;;;
329;06/12/22 10:40:07'040;218,567;;;
330;06/12/22 10:40:07'520;218,595;;;
331;06/12/22 10:40:07'840;218,632;;;
332;06/12/22 10:40:08'320;218,588;;;
333;06/12/22 10:40:08'800;218,574;;;
334;06/12/22 10:40:09'280;218,617;;;
335;06/12/22 10:40:09'759;218,590;;;
336;06/12/22 10:40:10'239;218,567;;;
337;06/12/22 10:40:10'719;218,567;;;
338;06/12/22 10:40:11'200;218,602;;;
339;06/12/22 10:40:11'678;218,665;;;
340;06/12/22 10:40:12'159;218,632;;;
341;06/12/22 10:40:12'479;218,623;;;
342;06/12/22 10:40:12'959;218,744;;;
343;06/12/22 10:40:13'279;218,638;;;
344;06/12/22 10:40:13'775;218,621;;;
345;06/12/22 10:40:14'255;218,661;;;
346;06/12/22 10:40:14'736;218,621;;;
347;06/12/22 10:40:15'248;218,615;;;
348;06/12/22 10:40:15'886;218,690;;;
349;06/12/22 10:40:16'366;218,656;;;
350;06/12/22 10:40:16'846;218,755;;;
351;06/12/22 10:40:17'326;218,684;;;
352;06/12/22 10:40:17'806;218,647;;;
353;06/12/22 10:40:18'126;218,688;;;
354;06/12/22 10:40:18'606;218,737;;;
355;06/12/22 10:40:19'086;218,700;;;
356;06/12/22 10:40:19'566;218,689;;;
357;06/12/22 10:40:20'046;218,768;;;
358;06/12/22 10:40:20'527;218,716;;;
359;06/12/22 10:40:21'006;218,775;;;
360;06/12/22 10:40:21'485;218,701;;;
361;06/12/22 10:40:22'126;218,601;;;
362;06/12/22 10:40:22'605;218,762;;;
363;06/12/22 10:40:23'085;218,702;;;
364;06/12/22 10:40:23'725;218,742;;;
365;06/12/22 10:40:24'205;218,717;;;
366;06/12/22 10:40:24'685;218,682;;;
367;06/12/22 10:40:25'325;218,748;;;
368;06/12/22 10:40:25'805;218,730;;;
369;06/12/22 10:40:26'285;218,767;;;
370;06/12/22 10:40:26'925;218,681;;;
371;06/12/22 10:40:27'404;218,746;;;
372;06/12/22 10:40:27'884;218,730;;;
373;06/12/22 10:40:28'204;218,686;;;
374;06/12/22 10:40:28'684;218,688;;;
375;06/12/22 10:40:29'164;218,716;;;
376;06/12/22 10:40:30'472;218,671;;;
377;06/12/22 10:40:31'132;218,681;;;
378;06/12/22 10:40:31'644;218,720;;;
379;06/12/22 10:40:31'964;218,665;;;
380;06/12/22 10:40:32'444;218,719;;;
381;06/12/22 10:40:32'956;218,729;;;
382;06/12/22 10:40:33'435;218,626;;;
383;06/12/22 10:40:33'915;218,644;;;
384;06/12/22 10:40:34'395;218,721;;;
385;06/12/22 10:40:34'875;218,680;;;
386;06/12/22 10:40:35'354;218,682;;;
387;06/12/22 10:40:35'835;218,691;;;
388;06/12/22 10:40:36'315;218,640;;;
389;06/12/22 10:40:36'955;218,725;;;
390;06/12/22 10:40:37'595;218,567;;;
391;06/12/22 10:40:38'075;218,713;;;
392;06/12/22 10:40:38'556;218,692;;;
393;06/12/22 10:40:39'195;218,689;;;
394;06/12/22 10:40:39'674;218,642;;;
395;06/12/22 10:40:40'154;218,544;;;
396;06/12/22 10:40:40'794;218,635;;;
397;06/12/22 10:40:41'274;218,620;;;
398;06/12/22 10:40:41'754;218,676;;;
399;06/12/22 10:40:42'234;218,688;;;
400;06/12/22 10:40:42'714;218,635;;;
401;06/12/22 10:40:43'194;218,737;;;
402;06/12/22 10:40:43'674;218,679;;;
403;06/12/22 10:40:44'154;218,581;;;
404;06/12/22 10:40:44'634;218,565;;;
405;06/12/22 10:40:45'114;218,600;;;
406;06/12/22 10:40:45'593;218,621;;;
407;06/12/22 10:40:46'233;218,534;;;
408;06/12/22 10:40:46'713;218,573;;;
409;06/12/22 10:40:47'193;218,572;;;
410;06/12/22 10:40:47'833;218,644;;;
411;06/12/22 10:40:48'313;218,543;;;
412;06/12/22 10:40:48'793;218,619;;;
413;06/12/22 10:40:49'273;218,568;;;
414;06/12/22 10:40:49'753;218,627;;;
415;06/12/22 10:40:50'233;218,444;;;
416;06/12/22 10:40:50'873;218,522;;;
417;06/12/22 10:40:51'352;218,653;;;
418;06/12/22 10:40:51'832;218,632;;;
419;06/12/22 10:40:52'472;218,534;;;
420;06/12/22 10:40:52'952;218,615;;;
421;06/12/22 10:40:53'448;218,607;;;
422;06/12/22 10:40:53'928;218,602;;;
423;06/12/22 10:40:54'408;218,657;;;
424;06/12/22 10:40:54'888;218,586;;;
425;06/12/22 10:40:55'368;218,663;;;
426;06/12/22 10:40:55'848;218,593;;;
427;06/12/22 10:40:56'328;218,457;;;
428;06/12/22 10:40:56'808;218,589;;;
429;06/12/22 10:40:57'128;218,611;;;
430;06/12/22 10:40:57'607;218,597;;;
431;06/12/22 10:40:58'087;218,613;;;
432;06/12/22 10:40:58'727;218,426;;;
433;06/12/22 10:40:59'207;218,456;;;
434;06/12/22 10:40:59'687;218,531;;;
435;06/12/22 10:41:00'327;218,588;;;
436;06/12/22 10:41:00'807;218,524;;;
437;06/12/22 10:41:01'287;218,478;;;
438;06/12/22 10:41:01'607;218,556;;;
439;06/12/22 10:41:02'087;218,563;;;
440;06/12/22 10:41:02'407;218,626;;;
441;06/12/22 10:41:02'887;218,547;;;
442;06/12/22 10:41:03'208;218,490;;;
443;06/12/22 10:41:03'686;218,515;;;
444;06/12/22 10:41:04'006;218,550;;;
445;06/12/22 10:41:04'486;218,563;;;
446;06/12/22 10:41:04'806;218,592;;;
447;06/12/22 10:41:05'286;218,576;;;
448;06/12/22 10:41:05'766;218,485;;;
449;06/12/22 10:41:06'406;218,630;;;
450;06/12/22 10:41:06'886;218,558;;;
451;06/12/22 10:41:07'366;218,534;;;
452;06/12/22 10:41:08'006;218,614;;;
453;06/12/22 10:41:08'486;218,554;;;
454;06/12/22 10:41:08'982;218,562;;;
455;06/12/22 10:41:09'653;218,568;;;
456;06/12/22 10:41:10'133;218,534;;;
457;06/12/22 10:41:10'453;218,642;;;
458;06/12/22 10:41:10'933;218,566;;;
459;06/12/22 10:41:11'253;218,558;;;
460;06/12/22 10:41:11'733;218,673;;;
461;06/12/22 10:41:12'212;218,513;;;
462;06/12/22 10:41:12'693;218,599;;;
463;06/12/22 10:41:13'173;218,705;;;
464;06/12/22 10:41:13'653;218,652;;;
465;06/12/22 10:41:14'133;218,581;;;
466;06/12/22 10:41:14'613;218,586;;;
467;06/12/22 10:41:15'093;218,665;;;
468;06/12/22 10:41:15'572;218,580;;;
469;06/12/22 10:41:15'892;218,626;;;
470;06/12/22 10:41:16'372;218,561;;;
471;06/12/22 10:41:16'852;218,641;;;
472;06/12/22 10:41:17'332;218,503;;;
473;06/12/22 10:41:17'812;218,593;;;
474;06/12/22 10:41:18'292;218,619;;;
475;06/12/22 10:41:18'772;218,634;;;
