23_02_06_1_ao_4.csv;;;;;Em amarelo s�o os pontos de aquisi��o de temperatura;;;;;;;;;;
06/02/2023 08:09;;;;;Em verde s�o os pontos de aquisi��o de press�o;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""�C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44901,39944;20,9682;20,9809;21,5862;21,5475;21,8491;22,1346;-3,38504;-0,652481;203,826;239,202;251,24;255;0;0;0
44901,39946;20,9735;20,9865;21,591;21,5475;21,8497;22,1281;-3,38265;-0,655846;203,847;240,347;249,314;255;0;0;0
44901,39948;20,9795;20,9887;21,5882;21,5504;21,8534;22,141;-3,38625;-0,65361;203,821;239,294;248,101;255;0;0;0
44901,3995;20,9798;20,9948;21,591;21,5504;21,8447;22,136;-3,37742;-0,649506;203,849;238,682;248,482;255;0;0;0
44901,39952;20,9788;20,9874;21,5921;21,5465;21,856;22,1339;-3,39206;-0,653847;203,857;240,454;248,63;255;0;0;0
44901,39955;20,9782;20,9976;21,5902;21,5467;21,8553;22,1367;-3,37761;-0,651108;203,825;239,512;251,384;255;0;0;0
44901,39957;20,9852;20,9901;21,5924;21,553;21,8573;22,1341;-3,38072;-0,643791;203,831;237,758;248,241;255;0;0;0
44901,39959;20,9824;20,9974;21,595;21,5576;21,8548;22,1337;-3,37054;-0,645012;203,825;239,206;248,827;255;0;0;0
44901,39961;20,9733;20,9911;21,589;21,5561;21,8574;22,1334;-3,3761;-0,656601;203,829;241,168;251,078;255;0;0;0
44901,39963;20,9806;20,9949;21,5858;21,5594;21,8502;22,1297;-3,36595;-0,642784;203,846;240,941;250,823;255;0;0;0
44901,39965;20,9728;20,983;21,5832;21,5548;21,8497;22,1316;-3,37708;-0,650024;203,828;238,631;248,632;255;0;0;0
44901,39967;20,9716;20,9814;21,5833;21,5587;21,8468;22,1305;-3,39046;-0,653091;203,84;239,395;250,655;255;0;0;0
44901,3997;20,971;20,9855;21,5865;21,5561;21,8432;22,1243;-3,3792;-0,65107;203,827;240,675;248,899;255;0;0;0
44901,39972;20,9752;20,9846;21,5817;21,5517;21,8531;22,1316;-3,38154;-0,646774;203,84;241,256;250,971;255;0;0;0
44901,39974;20,9855;20,9915;21,5889;21,5559;21,8511;22,1327;-3,39049;-0,650841;203,836;238,984;248,749;255;0;0;0
44901,39976;20,978;20,9876;21,5854;21,5539;21,8544;22,1348;-3,37827;-0,645271;203,857;242,857;249,65;255;0;0;0
44901,39978;20,9813;20,9962;21,595;21,5544;21,8537;22,1386;-3,37852;-0,64785;203,849;240,685;248,446;255;0;0;0
44901,3998;20,9769;20,9925;21,5911;21,5527;21,8543;22,1372;-3,37096;-0,654396;203,845;239,801;249,869;255;0;0;0
44901,39982;20,9801;20,9947;21,5932;21,5508;21,8529;22,1395;-3,37627;-0,654434;203,845;239,519;250,748;255;0;0;0
44901,39985;20,9835;20,9925;21,6006;21,5489;21,852;22,138;-3,37178;-0,660973;203,845;238,012;250,848;255;0;0;0
44901,39987;20,9818;20,9896;21,5889;21,5488;21,8538;22,1365;-3,37185;-0,646599;203,839;240,4;247,721;255;0;0;0
44901,39989;20,9705;20,9868;21,5884;21,5402;21,8464;22,1372;-3,36641;-0,643539;203,836;239,966;248,709;255;0;0;0
44901,39991;20,9779;20,9896;21,5895;21,5421;21,8534;22,1309;-3,36131;-0,638596;203,856;239,862;249,296;255;0;0;0
44901,39993;20,9775;20,9876;21,5881;21,5466;21,844;22,1336;-3,37556;-0,641281;203,861;241,172;248,99;255;0;0;0
44901,39995;20,9716;20,9944;21,5833;21,5577;21,8477;22,1343;-3,36538;-0,650276;203,857;240,929;250,095;255;0;0;0
44901,39997;20,9813;20,9922;21,5858;21,5586;21,8553;22,1348;-3,37076;-0,638382;203,833;241,099;251,464;255;0;0;0
44901,4;20,9746;20,9884;21,5895;21,5471;21,8437;22,1341;-3,37221;-0,647156;203,833;238,955;250,487;255;0;0;0
44901,40002;20,9748;20,9822;21,5831;21,5513;21,8513;22,1414;-3,37327;-0,654503;203,856;240,519;252,544;255;0;0;0
44901,40004;20,9756;20,9851;21,5828;21,5476;21,8504;22,1357;-3,35984;-0,645645;203,846;240,113;250,599;255;0;0;0
44901,40006;20,9769;20,9827;21,5854;21,5515;21,851;22,1387;-3,38463;-0,643364;203,852;238,942;248,367;255;0;0;0
44901,40008;20,977;20,9862;21,5842;21,5532;21,8438;22,1385;-3,36562;-0,640327;203,864;240,202;252,06;255;0;0;0
44901,4001;20,9762;20,9889;21,5836;21,5516;21,843;22,1443;-3,37733;-0,642143;203,863;237,568;249,803;255;0;0;0
44901,40012;20,978;20,9882;21,5916;21,5541;21,8483;22,1359;-3,37016;-0,654152;203,857;241,392;249,67;255;0;0;0
44901,40015;20,9739;20,9893;21,5903;21,5625;21,8502;22,1382;-3,37362;-0,647728;203,846;242,607;246,031;255;0;0;0
44901,40017;20,9792;20,9929;21,5919;21,5573;21,8555;22,1422;-3,37457;-0,639;203,854;239,155;249,34;255;0;0;0
44901,40019;20,9853;20,9896;21,5947;21,5616;21,8533;22,1461;-3,37212;-0,64679;203,848;239,748;249,392;255;0;0;0
44901,40021;20,9818;20,984;21,5882;21,5505;21,8533;22,1476;-3,38068;-0,654083;203,85;240,824;251,178;255;0;0;0
44901,40023;20,9732;20,9958;21,5858;21,5545;21,8533;22,1423;-3,36986;-0,6427;203,854;240,852;251,13;255;0;0;0
44901,40025;20,9759;20,9915;21,5911;21,5517;21,8546;22,1524;-3,37876;-0,630005;203,873;240,147;248,156;255;0;0;0
44901,40027;20,9749;20,989;21,5964;21,5573;21,8468;22,1504;-3,38177;-0,643402;203,857;242,74;249,399;255;0;0;0
44901,40029;20,9734;20,9811;21,5868;21,5546;21,842;22,1454;-3,37293;-0,661926;203,842;241,873;249,727;255;0;0;0
44901,40032;20,9754;20,9865;21,5855;21,5578;21,8439;22,1411;-3,3645;-0,653809;203,856;239,335;250,517;255;0;0;0
44901,40034;20,9791;20,9852;21,5834;21,5572;21,8522;22,1541;-3,36494;-0,665306;203,854;240,484;249,118;255;0;0;0
44901,40036;20,9733;20,987;21,586;21,5575;21,8471;22,1443;-3,37323;-0,650963;203,846;240,479;249,349;255;0;0;0
44901,40038;20,9807;20,9865;21,5884;21,5636;21,8486;22,1489;-3,37895;-0,642578;203,869;242,189;250,88;255;0;0;0
44901,4004;20,9844;20,9939;21,5927;21,5612;21,856;22,1547;-3,36977;-0,648529;203,866;241,055;250,291;255;0;0;0
44901,40042;20,99;20,992;21,5972;21,5567;21,8552;22,1578;-3,38055;-0,648476;203,871;239,235;250,892;255;0;0;0
44901,40044;20,9783;20,9955;21,5995;21,5626;21,8601;22,1569;-3,37998;-0,645897;203,861;242,591;249,975;255;0;0;0
44901,40047;20,9957;21,0027;21,6044;21,5578;21,8614;22,1544;-3,37164;-0,655647;203,861;239,588;249,914;255;0;0;0
44901,40049;20,9974;21,0014;21,6085;21,5547;21,8713;22,1607;-3,38292;-0,653137;203,868;239,596;250,212;255;0;0;0
44901,40051;20,9919;21,0091;21,6065;21,5555;21,8573;22,1595;-3,37203;-0,636139;203,869;241,101;252,041;255;0;0;0
44901,40053;20,9891;20,9955;21,5942;21,5559;21,8603;22,1588;-3,37737;-0,641464;203,865;242,689;246,901;255;0;0;0
44901,40055;20,984;20,9972;21,5996;21,555;21,8545;22,1537;-3,37696;-0,634476;203,864;242,471;250,487;255;0;0;0
44901,40057;20,9895;20,9993;21,602;21,5552;21,8582;22,1531;-3,38907;-0,658691;203,879;239,613;250,152;255;0;0;0
44901,40059;20,9939;21,0118;21,6086;21,56;21,8613;22,1584;-3,37678;-0,638702;203,872;240,016;249,888;255;0;0;0
44901,40062;20,9996;21,0033;21,6052;21,5608;21,8694;22,162;-3,38606;-0,647186;203,87;238,89;250,78;255;0;0;0
44901,40064;20,9947;21,007;21,611;21,5597;21,8638;22,1576;-3,38396;-0,637169;203,86;238,548;249,848;255;0;0;0
44901,40066;20,9973;21,0062;21,6098;21,556;21,8707;22,1567;-3,37035;-0,648315;203,87;239,373;251,507;255;0;0;0
