22_12_13_1_ao_4.csv;;;;;;;;;;;;;;;
13/12/2022 08:04;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
TIME;" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""°C""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""kPa""";" ""DIO""";" ""TOTAL""";" ""ALARM1""";" ""ALARM2"""
04TIME;" ""0401""";" ""0402""";" ""0403""";" ""0404""";" ""0405""";" ""0406""";" ""0407""";" ""0408""";" ""0409""";" ""0410""";" ""0417""";" ""04DIO""";" ""04TOTAL""";" ""04ALARM1""";" ""04ALARM2"""
44908,33873;20,4999;20,2493;20,2579;19,9178;20,1095;21,9323;240,455;243,408;240,679;-1,4931;248,812;255;0;0;0
44908,33875;20,501;20,2501;20,2523;19,919;20,1118;21,9391;240,513;243,249;241,255;-1,49441;249,868;255;0;0;0
44908,33877;20,4993;20,248;20,2547;19,9169;20,1109;21,951;239,999;244,132;240,284;-1,50676;247,854;255;0;0;0
44908,33879;20,5003;20,2486;20,2503;19,9187;20,108;21,9557;241,093;243,59;240,987;-1,49921;248,764;255;0;0;0
44908,33881;20,5006;20,2427;20,2534;19,9146;20,1115;21,9669;242,098;241,192;241,894;-1,49248;249,093;255;0;0;0
44908,33884;20,4981;20,2426;20,2509;19,9113;20,1063;21,9659;241,051;243,441;241,605;-1,49444;248,648;255;0;0;0
44908,33886;20,505;20,2418;20,2558;19,9184;20,1041;21,9678;241,555;242,342;239,851;-1,49487;248,239;255;0;0;0
44908,33888;20,5062;20,2404;20,2492;19,9172;20,1105;21,9622;239,66;243,663;241,339;-1,48762;251,789;255;0;0;0
44908,3389;20,5022;20,2403;20,2518;19,9159;20,1066;21,9554;239,767;240,125;237,823;-1,49577;249,582;255;0;0;0
44908,33892;20,4988;20,245;20,2538;19,914;20,1064;21,9617;241,241;240,77;240,33;-1,49649;249,679;255;0;0;0
44908,33894;20,5045;20,247;20,2512;19,914;20,1109;21,9607;239,893;242,518;240,607;-1,49966;250,69;255;0;0;0
44908,33896;20,5079;20,2537;20,261;19,9203;20,1096;21,9767;242,339;242,853;240,676;-1,49792;251,395;255;0;0;0
44908,33898;20,5125;20,2483;20,2576;19,9173;20,1159;21,9867;237,925;243,548;241,322;-1,4855;249,675;255;0;0;0
44908,33901;20,5093;20,2508;20,2605;19,9172;20,1117;21,9907;242,462;241,813;240,653;-1,48834;249,173;255;0;0;0
44908,33903;20,5074;20,2481;20,2602;19,9204;20,1139;22,0046;239,237;241,464;238,431;-1,48777;249,176;255;0;0;0
44908,33905;20,5104;20,2488;20,2562;19,9264;20,116;22,0186;238,524;243,564;241,996;-1,50173;248,997;255;0;0;0
44908,33907;20,5109;20,2449;20,2596;19,9212;20,1182;22,0367;240,51;240,794;239,141;-1,49975;249,885;255;0;0;0
44908,33909;20,5131;20,2504;20,2659;19,9239;20,1126;22,0515;242,717;241,191;240,88;-1,49393;250,569;255;0;0;0
44908,33911;20,5083;20,251;20,2614;19,9208;20,1102;22,066;241,724;243,008;240,932;-1,49152;249,402;255;0;0;0
44908,33913;20,5131;20,2517;20,2624;19,9203;20,1178;22,072;241,767;242,612;241,404;-1,47044;249,582;255;0;0;0
44908,33916;20,5113;20,2455;20,2639;19,9207;20,1106;22,0967;240,886;242,429;239,862;-1,48563;247,655;255;0;0;0
44908,33918;20,5075;20,2425;20,2625;19,9265;20,1106;22,102;242,869;243,026;242,162;-1,48641;248,784;255;0;0;0
44908,3392;20,511;20,2486;20,2613;19,9225;20,1159;22,1143;241;242,403;240,215;-1,49123;253,212;255;0;0;0
44908,33922;20,4971;20,2362;20,2484;19,9167;20,109;22,1135;240,399;243,414;240,975;-1,50137;249,168;255;0;0;0
44908,33924;20,5031;20,2423;20,2493;19,9124;20,1035;22,126;239,133;242,612;240,843;-1,49783;250,662;255;0;0;0
44908,33926;20,4985;20,2398;20,2484;19,9109;20,111;22,1366;242,33;243,034;241,132;-1,50768;249,506;255;0;0;0
44908,33928;20,5027;20,2338;20,2556;19,9124;20,1043;22,1432;242,235;243,008;241,828;-1,50805;248,726;255;0;0;0
44908,33931;20,5016;20,2437;20,2558;19,9133;20,103;22,1595;242,802;242,144;238,769;-1,4938;248,251;255;0;0;0
44908,33933;20,5024;20,2396;20,2523;19,909;20,1039;22,1618;240,95;244,416;240,453;-1,49311;249,277;255;0;0;0
44908,33935;20,4995;20,2385;20,2536;19,9144;20,1107;22,1706;240,035;241,356;238,714;-1,48772;249,929;255;0;0;0
44908,33937;20,4998;20,2372;20,2546;19,911;20,1041;22,1793;241,163;242,787;240,13;-1,49235;246,496;255;0;0;0
44908,33939;20,5005;20,2311;20,2465;19,9072;20,1068;22,1865;240,671;243,362;240,271;-1,50027;247,592;255;0;0;0
44908,33941;20,5047;20,2401;20,2548;19,9148;20,1011;22,1983;240,459;242,245;241,018;-1,50169;250,117;255;0;0;0
44908,33943;20,5035;20,2359;20,2529;19,9166;20,1099;22,2018;243,464;243,05;239,058;-1,48053;248,379;255;0;0;0
44908,33946;20,5022;20,2373;20,245;19,9159;20,106;22,2168;241,187;241,981;241,539;-1,49813;249,234;255;0;0;0
44908,33948;20,4989;20,2335;20,2514;19,9175;20,1059;22,2207;241,087;242,188;237,424;-1,49691;249,522;255;0;0;0
44908,3395;20,5035;20,2342;20,2543;19,911;20,105;22,2173;239,861;241,358;239,305;-1,49052;249,823;255;0;0;0
44908,33952;20,4986;20,2319;20,2538;19,9182;20,1086;22,2125;241,66;243,495;239,525;-1,49695;250,844;255;0;0;0
44908,33954;20,5018;20,2416;20,2518;19,916;20,104;22,2031;239,735;242,37;239,106;-1,49886;250,848;255;0;0;0
44908,33956;20,4984;20,2386;20,2534;19,9184;20,104;22,1964;238,642;242,517;242,126;-1,48965;249,824;255;0;0;0
44908,33958;20,4981;20,2394;20,2493;19,913;20,111;22,1797;242,47;241,465;239,133;-1,49416;250,303;255;0;0;0
44908,33961;20,5032;20,2371;20,25;19,9176;20,1068;22,1638;238,716;243,192;240,102;-1,50655;248,576;255;0;0;0
44908,33963;20,4998;20,2409;20,2507;19,9166;20,1063;22,1572;241,486;241,013;240,346;-1,49438;251,604;255;0;0;0
44908,33965;20,5062;20,2353;20,2493;19,9116;20,1115;22,1474;241,905;242,662;242,056;-1,49336;249,334;255;0;0;0
44908,33967;20,5058;20,2373;20,2601;19,9135;20,1095;22,1339;238,885;241,469;238,691;-1,49087;250,813;255;0;0;0
44908,33969;20,5063;20,2341;20,2571;19,9118;20,1133;22,1324;240,79;242,396;241,604;-1,49327;249,552;255;0;0;0
44908,33971;20,5047;20,2368;20,2528;19,9207;20,1062;22,1269;239,877;242,958;241,501;-1,50084;248,525;255;0;0;0
44908,33973;20,508;20,2379;20,2568;19,9132;20,1094;22,1198;240,401;241,339;240,411;-1,50062;249,588;255;0;0;0
44908,33975;20,4992;20,2351;20,2569;19,9098;20,1106;22,1167;239,632;241,357;241,589;-1,49999;248,918;255;0;0;0
44908,33978;20,4958;20,2333;20,252;19,9177;20,103;22,1037;239,903;241,542;240,298;-1,4884;249,115;255;0;0;0
44908,3398;20,4962;20,229;20,2527;19,9139;20,1045;22,0952;242,48;243,249;241,567;-1,50296;247,61;255;0;0;0
44908,33982;20,4964;20,2351;20,2562;19,9117;20,1029;22,0866;241,043;240,881;241,528;-1,50594;250,934;255;0;0;0
